iter	Passed	Remaining
415	2743	17042
416	2750	17036
417	2757	17034
418	2764	17028
419	2771	17026
420	2778	17018
421	2784	17011
422	2791	17007
423	2797	16998
424	2804	16991
425	2811	16988
426	2818	16983
427	2825	16977
428	2831	16971
429	2838	16964
430	2844	16956
431	2851	16952
432	2857	16943
433	2865	16939
434	2871	16929
435	2877	16923
436	2883	16913
437	2891	16911
438	2897	16905
439	2904	16899
440	2911	16893
441	2917	16886
442	2924	16881
443	2931	16873
444	2937	16865
445	2943	16858
446	2950	16850
447	2956	16843
448	2963	16836
449	2969	16829
450	2976	16821
451	2982	16814
452	2989	16807
453	2995	16800
454	3002	16792
455	3008	16784
456	3015	16777
457	3021	16772
458	3028	16765
459	3035	16758
460	3041	16753
461	3048	16745
462	3056	16745
463	3062	16739
464	3069	16732
465	3075	16726
466	3082	16719
467	3089	16713
468	3095	16707
469	3103	16706
470	3110	16698
471	3116	16693
472	3122	16684
473	3129	16677
474	3136	16670
475	3142	16663
476	3149	16657
477	3155	16649
478	3162	16641
479	3168	16633
480	3175	16628
481	3181	16619
482	3187	16611
483	3194	16603
484	3200	16595
485	3206	16589
486	3214	16585
487	3220	16577
488	3227	16573
489	3234	16567
490	3240	16560
491	3247	16552
492	3253	16543
493	3259	16537
494	3266	16532
495	3273	16526
496	3280	16522
497	3287	16516
498	3294	16510
499	3300	16501
500	3306	16492
501	3312	16483
502	3319	16476
503	3325	16471
504	3333	16470
505	3340	16466
506	3347	16460
507	3354	16454
508	3360	16447
509	3367	16441
510	3374	16434
511	3380	16427
512	3387	16421
513	3393	16414
514	3401	16411
515	3407	16404
516	3414	16397
517	3420	16389
518	3426	16380
519	3433	16376
520	3440	16368
521	3446	16362
522	3453	16354
523	3459	16347
524	3466	16340
525	3472	16334
526	3479	16327
527	3486	16324
528	3493	16319
529	3499	16311
530	3506	16305
531	3513	16298
532	3520	16293
533	3526	16287
534	3534	16283
535	3540	16276
536	3547	16269
537	3553	16261
538	3559	16253
539	3566	16248
540	3572	16239
541	3579	16233
542	3585	16225
543	3591	16216
544	3598	16208
545	3604	16199
546	3610	16190
547	3616	16181
548	3622	16172
549	3628	16163
550	3634	16154
551	3640	16146
552	3647	16139
553	3653	16130
554	3659	16121
555	3665	16111
556	3671	16105
557	3677	16095
558	3684	16087
559	3690	16079
560	3696	16068
561	3702	16060
562	3708	16051
563	3714	16041
564	3719	16031
565	3725	16022
566	3731	16012
567	3737	16002
568	3743	15991
569	3749	15983
570	3755	15974
571	3761	15964
572	3766	15954
573	3773	15947
574	3779	15937
575	3784	15928
576	3790	15918
577	3796	15909
578	3802	15901
579	3808	15891
580	3814	15883
581	3821	15875
582	3826	15865
583	3832	15854
584	3838	15844
585	3844	15838
586	3851	15831
587	3858	15826
588	3864	15820
589	3870	15811
590	3876	15802
591	3882	15792
592	3888	15784
593	3894	15775
594	3900	15766
595	3906	15756
596	3912	15747
597	3917	15736
598	3923	15727
599	3929	15718
600	3935	15708
601	3941	15699
602	3947	15691
603	3953	15682
604	3959	15673
605	3965	15664
606	3971	15655
607	3976	15645
608	3982	15636
609	3989	15630
610	3995	15622
611	4001	15613
612	4007	15604
613	4013	15594
614	4019	15586
615	4024	15577
616	4030	15568
617	4036	15558
618	4042	15550
619	4048	15539
620	4054	15532
621	4060	15524
622	4066	15516
623	4073	15509
624	4078	15500
625	4084	15490
626	4090	15481
627	4096	15471
628	4101	15462
629	4108	15453
630	4113	15443
631	4119	15434
632	4125	15426
633	4131	15417
634	4136	15407
635	4142	15398
636	4148	15389
637	4154	15380
638	4159	15369
639	4165	15361
640	4171	15353
641	4177	15345
642	4184	15338
643	4190	15329
644	4196	15321
645	4202	15312
646	4208	15305
647	4214	15297
648	4220	15287
649	4226	15279
650	4231	15269
651	4237	15260
652	4243	15250
653	4248	15241
654	4254	15231
655	4260	15222
656	4266	15213
657	4271	15204
658	4277	15196
659	4283	15188
660	4290	15181
661	4296	15173
662	4302	15164
663	4307	15153
664	4312	15143
665	4319	15136
666	4324	15127
667	4330	15117
668	4335	15107
669	4341	15098
670	4348	15091
671	4354	15084
672	4360	15077
673	4367	15071
674	4373	15065
675	4379	15057
676	4386	15051
677	4393	15046
678	4400	15042
679	4407	15036
680	4413	15030
681	4420	15022
682	4426	15016
683	4433	15010
684	4439	15003
685	4447	15000
686	4453	14994
687	4460	14987
688	4466	14981
689	4473	14976
690	4480	14970
691	4487	14965
692	4493	14958
693	4499	14951
694	4506	14945
695	4513	14939
696	4519	14932
697	4526	14926
698	4532	14920
699	4540	14917
700	4546	14911
701	4553	14906
702	4560	14900
703	4567	14895
704	4574	14889
705	4580	14884
706	4587	14877
707	4593	14871
708	4600	14866
709	4607	14861
710	4615	14857
711	4621	14850
712	4627	14844
713	4634	14839
714	4641	14831
715	4647	14824
716	4653	14817
717	4660	14810
718	4666	14803
719	4673	14798
720	4679	14792
721	4686	14786
722	4694	14783
723	4700	14777
724	4707	14773
725	4715	14769
726	4721	14763
727	4728	14757
728	4735	14750
729	4741	14744
730	4748	14739
731	4755	14732
732	4761	14725
733	4768	14721
734	4775	14715
735	4781	14709
736	4788	14704
737	4795	14697
738	4801	14689
739	4808	14683
740	4815	14680
741	4821	14673
742	4829	14669
743	4835	14663
744	4843	14660
745	4850	14654
746	4857	14650
747	4865	14648
748	4872	14644
749	4880	14640
750	4886	14634
751	4893	14629
752	4901	14625
753	4908	14621
754	4915	14615
755	4921	14609
756	4928	14602
757	4935	14597
758	4941	14591
759	4948	14586
760	4955	14581
761	4963	14577
762	4970	14573
763	4977	14568
764	4985	14564
765	4992	14560
766	4999	14555
767	5006	14550
768	5012	14543
769	5019	14538
770	5027	14534
771	5035	14531
772	5041	14525
773	5049	14521
774	5056	14516
775	5064	14513
776	5070	14507
777	5077	14500
778	5084	14495
779	5090	14488
780	5097	14483
781	5104	14476
782	5111	14471
783	5117	14465
784	5124	14460
785	5130	14452
786	5137	14446
787	5144	14440
788	5151	14435
789	5158	14429
790	5164	14424
791	5171	14418
792	5178	14412
793	5185	14407
794	5192	14402
795	5199	14397
796	5206	14392
797	5213	14386
798	5220	14380
799	5227	14375
800	5234	14370
801	5242	14367
802	5249	14361
803	5255	14355
804	5262	14349
805	5270	14345
806	5277	14340
807	5283	14334
808	5290	14327
809	5296	14320
810	5303	14314
811	5311	14311
812	5317	14305
813	5324	14299
814	5331	14294
815	5338	14287
816	5345	14282
817	5351	14275
818	5358	14269
819	5366	14266
820	5373	14260
821	5379	14253
822	5386	14248
823	5394	14245
824	5401	14240
825	5408	14235
826	5415	14229
827	5422	14224
828	5430	14220
829	5437	14216
830	5445	14212
831	5453	14209
832	5461	14207
833	5467	14200
834	5474	14194
835	5482	14190
836	5489	14185
837	5495	14179
838	5504	14176
839	5511	14172
840	5518	14168
841	5526	14163
842	5533	14158
843	5540	14152
844	5548	14149
845	5556	14146
846	5563	14141
847	5570	14136
848	5578	14132
849	5585	14127
850	5593	14124
851	5600	14118
852	5607	14114
853	5614	14107
854	5620	14101
855	5627	14095
856	5634	14089
857	5641	14084
858	5649	14079
859	5656	14074
860	5663	14068
861	5670	14064
862	5678	14060
863	5685	14056
864	5693	14052
865	5700	14046
866	5707	14042
867	5714	14036
868	5721	14031
869	5729	14027
870	5736	14021
871	5744	14018
872	5751	14014
873	5758	14007
874	5765	14001
875	5772	13997
876	5779	13990
877	5785	13983
878	5792	13977
879	5799	13971
880	5805	13963
881	5812	13957
882	5818	13949
883	5825	13943
884	5831	13936
885	5837	13928
886	5844	13922
887	5850	13915
888	5857	13908
889	5863	13900
890	5869	13893
891	5876	13887
892	5883	13881
893	5889	13873
894	5896	13867
895	5902	13860
896	5909	13854
897	5915	13846
898	5922	13840
899	5928	13834
900	5935	13828
901	5942	13821
902	5949	13815
903	5955	13809
904	5962	13803
905	5969	13797
906	5976	13790
907	5983	13784
908	5989	13778
909	5996	13772
910	6003	13765
911	6009	13758
912	6015	13751
913	6022	13745
914	6028	13737
915	6035	13730
916	6042	13725
917	6048	13717
918	6054	13710
919	6061	13704
920	6068	13697
921	6074	13690
922	6080	13683
923	6086	13675
924	6093	13670
925	6100	13662
926	6106	13655
927	6113	13649
928	6119	13642
929	6126	13635
930	6132	13628
931	6138	13620
932	6144	13611
933	6149	13603
934	6155	13595
935	6162	13588
936	6167	13580
937	6173	13571
938	6179	13563
939	6185	13554
940	6191	13546
941	6197	13538
942	6202	13530
943	6208	13522
944	6214	13514
945	6221	13508
946	6227	13500
947	6232	13491
948	6239	13484
949	6244	13476
950	6250	13467
951	6256	13459
952	6262	13450
953	6268	13443
954	6274	13435
955	6280	13427
956	6285	13418
957	6291	13411
958	6298	13404
959	6304	13396
960	6310	13389
961	6316	13382
962	6322	13373
963	6328	13365
964	6334	13357
965	6339	13349
966	6345	13341
967	6351	13333
968	6357	13325
969	6363	13317
970	6369	13309
971	6375	13301
972	6381	13293
973	6387	13285
974	6393	13278
975	6399	13271
976	6405	13262
977	6411	13255
978	6417	13248
979	6423	13240
