date_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,annee,mois,nombre_lots
2023-01-17,302000.0,RUE MULLER,75018.0,Paris 18e Arrondissement,Appartement,27.0,1,2.346092,48.886342,11185.19,2023,1,2
2023-01-13,750000.0,RUE RICHER,75009.0,Paris 9e Arrondissement,Appartement,56.0,3,2.34767,48.874138,13392.86,2023,1,1
2023-01-05,280000.0,VLA DURY VASSELON,75020.0,Paris 20e Arrondissement,Appartement,42.0,2,2.403191,48.875724,6666.67,2023,1,2
2023-01-10,380000.0,RUE PETRELLE,75009.0,Paris 9e Arrondissement,Appartement,37.0,2,2.346963,48.880974,10270.27,2023,1,1
2023-01-17,360000.0,RUE DE TOURTILLE,75020.0,Paris 20e Arrondissement,Appartement,60.0,2,2.380136,48.872207,6000.0,2023,1,3
2023-01-09,1375000.0,RUE MARTEL,75010.0,Paris 10e Arrondissement,Appartement,141.0,5,2.353648,48.873924,9751.77,2023,1,2
2023-01-19,647500.0,RUE NOLLET,75017.0,Paris 17e Arrondissement,Appartement,59.0,3,2.322644,48.886027,10974.58,2023,1,2
2023-01-06,295000.0,RUE DE L AGENT BAILLY,75009.0,Paris 9e Arrondissement,Appartement,30.0,1,2.341971,48.878001,9833.33,2023,1,1
2023-01-20,770000.0,RUE DU HUIT MAI 1945,75010.0,Paris 10e Arrondissement,Appartement,99.0,4,2.356549,48.876598,7777.78,2023,1,1
2023-01-17,713952.0,RUE JOSEPH DE MAISTRE,75018.0,Paris 18e Arrondissement,Appartement,63.0,3,2.331448,48.89054,11332.57,2023,1,2
2023-01-04,125000.0,RUE DE CHABROL,75010.0,Paris 10e Arrondissement,Appartement,18.0,1,2.350839,48.877362,6944.44,2023,1,1
2023-01-03,185000.0,PAS GAUTHIER,75019.0,Paris 19e Arrondissement,Appartement,12.0,1,2.381284,48.875488,15416.67,2023,1,1
2023-01-04,205800.0,RUE DE CHARTRES,75018.0,Paris 18e Arrondissement,Appartement,65.0,3,2.352833,48.884652,3166.15,2023,1,4
2023-01-12,104100.0,RUE JEAN ROBERT,75018.0,Paris 18e Arrondissement,Appartement,10.0,1,2.357991,48.889802,10410.0,2023,1,1
2023-01-10,210000.0,RUE LAMARCK,75018.0,Paris 18e Arrondissement,Appartement,11.0,1,2.330432,48.890862,19090.91,2023,1,1
